COD,DPTO,CADENA,SALA
101797,1 - La Paz,Andys,ANDYS SAN MIGUEL
127814,1 - La Paz,Andys,ANDYS ACHUMANI
129024,1 - La Paz,Andys,ANDYS OBRAJES
166151,1 - La Paz,Andys,SUPERMERCADO HOME CENTER ANDYS
104835,1 - La Paz,DELICOR,DE LICOR
147109,1 - La Paz,DELICOR,DE LICOR SAN MIGUEL
153493,1 - La Paz,DELICOR,DE LICOR PLAZA ABAROA
155081,1 - La Paz,DELICOR,DE LICOR ACHUMANI
166022,1 - La Paz,DISMAC,DISMAC
147675,1 - La Paz,Farmacia Chavez,FARMACIA CHAVEZ S.A.
158016,1 - La Paz,Farmacia Hipermaxi,FARMACIA HIPERMAXI ACHUMANI
158017,1 - La Paz,Farmacia Hipermaxi,FARMACIA HIPERMAXI OBRAJES
158018,1 - La Paz,Farmacia Hipermaxi,FARMACIA HIPERMAXI CALACOTO
158019,1 - La Paz,Farmacia Hipermaxi,FARMACIA HIPERMAXI LOS PINOS
158020,1 - La Paz,Farmacia Hipermaxi,FARMACIA HIPERMAXI SATELITE
158021,1 - La Paz,Farmacia Hipermaxi,FARMACIA HIPERMAXI COTA COTA
158022,1 - La Paz,Farmacia Hipermaxi,FARMACIA HIPERMAXI COSTANERA
158023,1 - La Paz,Farmacia Hipermaxi,FARMACIA HIPERMAXI 20 DE OCTUBRE
139042,1 - La Paz,Farmacias Catedral,FARMACIAS CATEDRAL
167406,1 - La Paz,Farmacias Edisa,FARMACIAS EDISA S.R.L.
142563,1 - La Paz,FARMACORP,FARMACORP S.A. CENTRAL
167424,1 - La Paz,FARMACOSTO,FARMACIAS FARMACOSTO
167391,1 - La Paz,FARMAELIAS,FARMAELIAS CALACOTO
167392,1 - La Paz,FARMAELIAS,FARMAELIAS CENTRAL
167426,1 - La Paz,FARMAELIAS,FARMAELIAS ORURO PLAZA PRINCIPAL
167405,1 - La Paz,FARMAKOS,FARMACIA FARMAKOS ALTO OBRAJES
108313,1 - La Paz,Fidalga-Rosario,FIDALGA AVAROA
101390,1 - La Paz,Hipermaxi,HIPERMAXI CALACOTO
101391,1 - La Paz,Hipermaxi,HIPERMAXI MIRAFLORES
107949,1 - La Paz,Hipermaxi,HIPERMAXI SOPOCACHI
110958,1 - La Paz,Hipermaxi,HIPERMAXI LOS PINOS
123778,1 - La Paz,Hipermaxi,HIPERMAXI SATELITE
128329,1 - La Paz,Hipermaxi,HIPERMAXI ACHUMANI
128526,1 - La Paz,Hipermaxi,HIPERMAXI OBRAJES
144404,1 - La Paz,Hipermaxi,HIPERMAXI SA TORRES DEL POETA
145339,1 - La Paz,Hipermaxi,HIPERMAXI SA SUC RIO SECO
155037,1 - La Paz,Hipermaxi,HIPERMAXI COTA COTA
159689,1 - La Paz,Illimarket,MICRO MARKET ILLIMARKET
105610,1 - La Paz,Juan del Sur,MICROMARKET MILENIUM
105612,1 - La Paz,Juan del Sur,ALMACEN JUAN DEL SUR
110640,1 - La Paz,Juan del Sur,SURCO ZEGARRA JUAN MANUEL
142188,1 - La Paz,Juan del Sur,CLAUDIA MARGOT QUISPE CHOQUE JUAN DEL SUR SUC. IRPAVI
