operation,latency_ms
1,0.5607
2,0.3719
3,0.2776
4,0.2966
5,0.4891
6,0.5725
7,0.5165
8,0.6739
9,0.9304
10,1.0846
11,0.3397
12,1.7379
13,2.1655
14,0.9478
15,0.8999
16,1.0273
17,0.3449
18,0.476
19,0.3445
20,0.2602
21,0.396
22,0.4181
23,0.509
24,0.4833
25,0.3281
26,0.3954
27,1.6287
28,1.3156
29,1.2335
30,0.6587
31,1.6841
32,0.4862
33,0.3763
34,0.5273
35,0.2968
36,0.5858
37,0.5559
38,0.5665
39,0.9859
40,1.3536
41,1.6387
42,0.4095
43,1.1231
44,3.5519
45,0.4902
46,0.5588
47,0.7902
48,1.0589
49,0.678
50,1.0081
51,3.8247
52,1.0712
53,2.8105
54,2.7434
55,4.3818
56,0.4976
57,0.5552
58,0.9587
59,1.0463
60,0.7167
61,0.4871
62,1.1378
63,0.5912
64,1.1465
65,1.3491
66,0.8685
67,0.4293
68,0.764
69,0.4439
70,0.3854
71,0.4057
72,0.5997
73,0.4362
74,0.3419
75,1.6364
76,0.8851
77,1.1448
78,0.9288
79,0.6426
80,0.4745
81,0.359
82,0.3569
83,0.6259
84,0.3924
85,2.0692
86,0.9543
87,2.134
88,1.5235
89,1.4082
90,0.9435
91,2.1954
92,1.0234
93,1.3632
94,1.857
95,0.3713
96,0.6877
97,2.3702
98,1.0296
99,0.7395
100,1.6539
101,1.5964
102,0.3989
103,1.8597
104,2.2271
105,1.2707
106,0.7311
107,0.5
108,0.6132
109,0.6076
110,1.2056
111,0.8364
112,0.3561
113,0.8229
114,0.4081
115,0.3248
116,0.2856
117,0.3944
118,0.4394
119,0.5918
120,1.3639
121,0.5102
122,0.3707
123,0.4108
124,0.3195
125,0.423
126,2.667
127,2.2279
128,1.9175
129,0.4169
130,0.9262
131,0.6399
132,0.4077
133,0.4998
134,0.7624
135,2.7477
136,0.5281
137,0.5579
138,1.9307
139,0.6113
140,0.9211
141,0.963
142,1.3601
143,0.418
144,0.3244
145,2.7509
146,0.8967
147,3.3899
148,3.3427
149,0.3842
150,0.9115
151,2.1498
152,1.5477
153,2.1646
154,0.8633
155,0.3828
156,0.3915
157,0.5268
158,0.8961
159,1.9265
160,0.4073
161,0.4017
162,1.7743
163,1.4631
164,1.077
165,0.9118
166,4.9774
167,0.4272
168,0.3778
169,1.7486
170,1.415
171,0.9224
172,0.4486
173,1.5397
174,2.6954
175,0.41
176,0.5076
177,1.9555
178,0.9291
179,2.4494
180,2.2209
181,1.0112
182,0.7664
183,1.0674
184,1.3738
185,0.3557
186,0.8146
187,0.3806
188,0.4095
189,0.4074
190,0.3831
191,0.3795
192,0.549
193,0.6032
194,0.432
195,0.2456
196,0.2982
197,0.5599
198,0.2934
199,0.4236
200,0.3506
201,0.2846
202,0.6387
203,0.3952
204,0.3455
205,2.3644
206,0.614
207,0.4775
208,0.3884
209,0.3956
210,0.4929
211,0.3286
212,0.5453
213,0.3085
214,0.4131
215,0.4421
216,0.2948
217,0.3528
218,0.406
219,0.2678
220,0.4407
221,0.29
222,0.2609
223,0.2971
224,0.2838
225,0.3318
226,0.4247
227,0.4319
228,0.5326
229,0.4975
230,0.2977
231,0.2601
232,0.3598
233,0.3575
234,0.335
235,0.2669
236,0.3999
237,0.4115
238,0.4947
239,0.3784
240,0.3849
241,0.3278
242,0.2991
243,0.4968
244,0.4315
245,0.487
246,0.4322
247,0.3677
248,0.3581
249,0.2563
250,0.2385
251,0.5229
252,0.5028
253,0.317
254,0.3154
255,0.5309
256,0.4056
257,0.2501
258,0.4525
259,0.2586
260,0.2353
261,0.4266
262,0.3229
263,0.4878
264,0.3268
265,0.5206
266,0.324
267,0.3937
268,0.2419
269,0.2242
270,0.3306
271,0.336
272,0.3313
273,0.3542
274,0.302
275,0.2343
276,0.3313
277,0.292
278,0.3074
279,0.3965
280,0.3143
281,0.397
282,0.3281
283,0.4965
284,0.2402
285,0.307
286,0.7479
287,0.4492
288,0.5402
289,0.2708
290,0.5336
291,0.34
292,0.3631
293,1.3928
294,0.2949
295,0.2758
296,0.4049
297,0.4125
298,0.5316
299,0.3088
300,0.351
301,0.6296
302,0.3995
303,0.4852
304,0.2647
305,0.2406
306,0.296
307,0.329
308,0.3853
309,0.3511
310,0.4634
311,0.2417
312,0.2263
313,0.5071
314,0.253
315,0.2245
316,0.3796
317,0.4272
318,0.4055
319,0.2795
320,0.6319
321,0.3155
322,0.2373
323,0.7645
324,0.2954
325,0.2903
326,0.6427
327,0.411
328,0.56
329,0.8367
330,0.6432
331,0.4233
332,0.2407
333,0.3454
334,0.4478
335,0.2815
336,0.2378
337,0.5152
338,0.7298
339,1.8557
340,0.5608
341,0.5588
342,0.3383
343,0.3214
344,0.4151
345,0.4176
346,0.437
347,0.6718
348,0.3265
349,0.5763
350,0.2801
351,0.2822
352,0.4683
353,0.3567
354,0.3539
355,0.4623
356,0.2392
357,0.3994
358,1.001
359,0.5892
360,0.5646
361,0.8079
362,0.4108
363,0.2639
364,0.3663
365,0.3893
366,0.2677
367,0.2599
368,0.9718
369,0.3961
370,0.4094
371,1.0454
372,0.3046
373,0.3589
374,0.5362
375,1.1223
376,0.7195
377,0.3364
378,0.7789
379,0.3078
380,0.3094
381,0.3659
382,0.4886
383,0.3717
384,0.4809
385,0.3962
386,0.6237
387,0.4556
388,0.2927
389,0.6144
390,0.4478
391,0.4091
392,0.3808
393,0.6829
394,0.3176
395,0.2464
396,0.3493
397,0.2737
398,0.3826
399,0.3263
400,0.2778
401,0.3342
402,0.265
403,0.2914
404,0.3023
405,0.3099
406,0.467
407,0.2774
408,0.3291
409,0.3913
410,0.4308
411,0.2679
412,0.4808
413,0.3129
414,0.3846
415,0.302
416,0.2327
417,0.2305
418,0.3681
419,0.4323
420,0.3661
421,0.6846
422,0.2759
423,0.4276
424,0.3333
425,0.2672
426,0.5279
427,0.9792
428,0.3714
429,0.8759
430,0.3501
431,0.2513
432,0.6225
433,0.2684
434,0.4985
435,0.4006
436,0.3531
437,0.461
438,0.5271
439,0.5052
440,0.2622
441,0.2247
442,0.4583
443,0.4245
444,0.6085
445,0.3009
446,0.2631
447,0.6474
448,0.4616
449,0.3609
450,0.3387
451,0.2779
452,0.4852
453,0.4439
454,0.4307
455,0.6405
456,0.4178
457,0.5145
458,0.328
459,0.3575
460,0.3159
461,0.3865
462,0.33
463,0.2668
464,0.2248
465,0.2749
466,0.5316
467,0.2485
468,0.2585
469,0.3226
470,0.2395
471,0.3344
472,0.3065
473,0.656
474,0.3273
475,0.5415
476,0.386
477,0.3163
478,0.4211
479,0.4959
480,0.4902
481,0.3772
482,0.4646
483,0.4852
484,0.3168
485,0.5412
486,0.4471
487,0.4459
488,0.395
489,0.4177
490,0.2681
491,0.4164
492,0.5686
493,0.4517
494,0.3765
495,0.3444
496,1.4137
497,0.3597
498,0.3519
499,0.2405
500,0.3596
501,0.5367
502,0.3779
503,2.0289
504,0.7555
505,0.4454
506,0.7048
507,0.2754
508,0.6298
509,0.4009
510,0.6686
511,0.2919
512,0.2354
513,0.5748
514,0.3481
515,0.5777
516,0.2972
517,0.7784
518,0.3632
519,0.4064
520,0.284
521,0.2448
522,0.2337
523,0.4
524,0.2925
525,0.2303
526,0.5103
527,0.3216
528,0.229
529,0.4344
530,0.2486
531,0.398
532,0.3794
533,0.4984
534,0.326
535,0.3053
536,0.2423
537,0.2235
538,0.347
539,0.4179
540,0.2339
541,0.4481
542,0.3532
543,0.2927
544,0.2471
545,0.7568
546,0.5021
547,0.4409
548,0.4305
549,0.5262
550,0.5804
551,0.889
552,0.4568
553,0.3563
554,0.4981
555,0.3349
556,0.4648
557,0.5844
558,0.4637
559,0.705
560,0.7834
561,0.3724
562,0.6194
563,0.5027
564,0.5105
565,1.241
566,0.6236
567,0.3532
568,0.2398
569,0.3108
570,0.3074
571,0.2937
572,0.2425
573,0.2616
574,0.4333
575,0.2409
576,0.2486
577,0.2735
578,0.5502
579,0.4331
580,0.4684
581,0.3703
582,0.4381
583,0.3617
584,0.4477
585,0.5135
586,0.3137
587,0.3021
588,0.368
589,0.2424
590,0.2805
591,0.2546
592,0.3287
593,0.3281
594,0.3143
595,0.4953
596,0.5958
597,0.5751
598,0.4371
599,0.5352
600,0.6385
601,0.3472
602,0.3177
603,0.3768
604,0.3724
605,0.3338
606,0.567
607,0.2582
608,0.7331
609,0.8309
610,0.7011
611,0.679
612,0.3225
613,0.3498
614,0.2544
615,0.2576
616,0.6049
617,0.3667
618,0.3104
619,0.4144
620,0.3556
621,0.2652
622,0.5505
623,0.3688
624,0.2869
625,0.2759
626,0.3179
627,0.2508
628,0.2748
629,0.2391
630,0.2266
631,0.5766
632,0.3236
633,0.378
634,0.4374
635,0.9116
636,0.2934
637,0.2456
638,0.2967
639,0.8447
640,0.3752
641,0.4581
642,0.4314
643,0.3327
644,0.5002
645,0.5631
646,0.4904
647,0.4866
648,0.5367
649,0.6949
650,0.3576
651,0.3053
652,0.2327
653,0.5119
654,0.306
655,0.2291
656,1.1427
657,0.3236
658,0.3503
659,0.3716
660,0.5376
661,0.5765
662,0.4743
663,0.3995
664,0.266
665,0.2619
666,0.6648
667,0.338
668,0.4372
669,0.2542
670,0.2579
671,0.3918
672,0.2848
673,1.8938
674,0.3412
675,0.2623
676,0.6785
677,0.3135
678,0.6719
679,0.3126
680,0.8892
681,0.2766
682,0.243
683,0.5648
684,0.5565
685,0.4039
686,0.5677
687,0.8755
688,0.386
689,0.3382
690,0.2339
691,0.4303
692,0.369
693,0.3609
694,0.363
695,0.2369
696,0.2512
697,0.2404
698,0.5233
699,0.3449
700,0.4123
701,0.2683
702,0.2675
703,0.536
704,0.2992
705,0.4816
706,0.5639
707,0.3264
708,0.5253
709,0.2519
710,0.2297
711,0.5431
712,0.3673
713,0.6685
714,0.3276
715,0.2391
716,0.3385
717,0.2674
718,0.3543
719,0.3089
720,0.5284
721,0.4913
722,0.4126
723,0.5656
724,0.5806
725,0.2447
726,0.3012
727,0.3269
728,0.3027
729,0.3746
730,1.0662
731,0.4712
732,0.8187
733,0.3046
734,0.3647
735,0.3482
736,0.9709
737,0.4468
738,0.4421
739,0.7816
740,0.3813
741,0.4837
742,0.2784
743,0.3695
744,0.4565
745,0.3115
746,0.3377
747,0.636
748,0.5078
749,0.33
750,0.4123
751,0.599
752,0.3006
753,0.675
754,0.4069
755,0.3403
756,0.5294
757,0.3474
758,0.4502
759,0.3231
760,0.3403
761,0.3846
762,0.3807
763,0.3285
764,0.3199
765,0.2555
766,0.4669
767,0.2856
768,0.2301
769,0.247
770,0.7929
771,0.5484
772,0.3952
773,0.3616
774,0.2909
775,0.5484
776,0.2943
777,0.7811
778,0.4933
779,0.7743
780,0.5368
781,0.5496
782,0.5921
783,0.4356
784,0.8181
785,0.7425
786,1.0862
787,0.494
788,0.7156
789,0.428
790,1.0426
791,1.0436
792,0.5227
793,0.2728
794,0.2296
795,1.6363
796,0.4092
797,0.6283
798,0.2838
799,0.3668
800,0.6811
