case_id,product_sku,store,days_to_expiry,quantity,price_before,price_after,discount_pct,price_change_requested,price_change_approved,commercial_action,evidence_complete,financial_value_at_risk,score,forced_high_reasons,expected_risk,ai_risk,ai_explanation
CASE-0001,SKU-9728,Sala 10,33,191,97.58,97.58,0,False,False,NONE,False,18637.78,87,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=87; nivel=ALTO; factores: vencimiento=33d, valor=18637.78, acción=NONE, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0002,SKU-9858,Sala 5,66,135,108.38,65.03,40,True,True,NONE,False,14631.3,72,,ALTO,ALTO,"Score=72; nivel=ALTO; factores: vencimiento=66d, valor=14631.3, acción=NONE, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0003,SKU-5394,Sala 10,82,180,59.72,38.82,35,True,True,NONE,True,10749.6,67,,ALTO,ALTO,"Score=67; nivel=ALTO; factores: vencimiento=82d, valor=10749.6, acción=NONE, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0004,SKU-9868,Sala 13,90,184,133.19,133.19,0,False,False,APPLIED,True,24506.96,42,,MEDIO,MEDIO,"Score=42; nivel=MEDIO; factores: vencimiento=90d, valor=24506.96, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0005,SKU-4301,Sala 4,16,219,179.15,179.15,0,False,False,NONE,True,39233.85,83,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=83; nivel=ALTO; factores: vencimiento=16d, valor=39233.85, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0006,SKU-1066,Sala 3,14,212,125.06,106.3,15,True,False,APPLIED,True,26512.72,88,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=88; nivel=ALTO; factores: vencimiento=14d, valor=26512.72, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0007,SKU-4469,Sala 12,39,163,172.37,172.37,0,False,False,APPLIED,True,28096.31,57,,MEDIO,MEDIO,"Score=57; nivel=MEDIO; factores: vencimiento=39d, valor=28096.31, acción=APPLIED, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0008,SKU-6974,Sala 7,35,197,47.12,37.7,20,True,True,APPLIED,True,9282.64,62,,ALTO,ALTO,"Score=62; nivel=ALTO; factores: vencimiento=35d, valor=9282.64, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0009,SKU-4111,Sala 14,18,219,164.91,115.44,30,True,True,PENDING_APPROVAL,True,36115.29,83,,ALTO,ALTO,"Score=83; nivel=ALTO; factores: vencimiento=18d, valor=36115.29, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=sí."
CASE-0010,SKU-7560,Sala 17,50,196,102.22,102.22,0,False,False,PENDING_APPROVAL,True,20035.12,64,,ALTO,ALTO,"Score=64; nivel=ALTO; factores: vencimiento=50d, valor=20035.12, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0011,SKU-8667,Sala 2,29,128,41.23,32.98,20,True,True,APPLIED,False,5277.44,73,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=73; nivel=ALTO; factores: vencimiento=29d, valor=5277.44, acción=APPLIED, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0012,SKU-2608,Sala 8,29,131,163.28,114.3,30,True,False,PENDING_APPROVAL,True,21389.68,99,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=99; nivel=ALTO; factores: vencimiento=29d, valor=21389.68, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0013,SKU-8692,Sala 10,70,15,172.64,172.64,0,False,False,PENDING_APPROVAL,False,2589.6,45,,MEDIO,MEDIO,"Score=45; nivel=MEDIO; factores: vencimiento=70d, valor=2589.6, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0014,SKU-4387,Sala 4,76,57,69.35,41.61,40,True,False,NONE,False,3952.95,81,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=81; nivel=ALTO; factores: vencimiento=76d, valor=3952.95, acción=NONE, evidencia=incompleta, cambio_precio=solicitado, aprobación=no."
CASE-0015,SKU-2320,Sala 13,28,106,131.73,118.56,10,True,False,APPLIED,True,13963.38,76,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=76; nivel=ALTO; factores: vencimiento=28d, valor=13963.38, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0016,SKU-1715,Sala 16,3,102,93.01,93.01,0,False,False,NONE,True,9487.02,85,vencimiento <=45 días sin acción comercial,ALTO,ALTO,"Score=85; nivel=ALTO; factores: vencimiento=3d, valor=9487.02, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0017,SKU-1165,Sala 3,120,192,175.6,175.6,0,False,False,NONE,True,33715.2,55,,MEDIO,MEDIO,"Score=55; nivel=MEDIO; factores: vencimiento=120d, valor=33715.2, acción=NONE, evidencia=completa, cambio_precio=no solicitado, aprobación=no."
CASE-0018,SKU-2161,Sala 10,13,197,44.17,44.17,0,False,False,NONE,False,8701.49,100,vencimiento <=45 días sin acción comercial; vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=100; nivel=ALTO; factores: vencimiento=13d, valor=8701.49, acción=NONE, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0019,SKU-8300,Sala 9,65,173,84.97,50.98,40,True,False,PENDING_APPROVAL,True,14699.81,83,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=83; nivel=ALTO; factores: vencimiento=65d, valor=14699.81, acción=PENDING_APPROVAL, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0020,SKU-3594,Sala 18,57,158,172.46,155.21,10,True,True,APPLIED,False,27248.68,64,,ALTO,ALTO,"Score=64; nivel=ALTO; factores: vencimiento=57d, valor=27248.68, acción=APPLIED, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0021,SKU-3186,Sala 18,9,82,86.05,60.23,30,True,False,APPLIED,True,7056.1,91,cambio de precio no aprobado con impacto >=1000,ALTO,ALTO,"Score=91; nivel=ALTO; factores: vencimiento=9d, valor=7056.1, acción=APPLIED, evidencia=completa, cambio_precio=solicitado, aprobación=no."
CASE-0022,SKU-7647,Sala 17,24,85,153.31,145.64,5,True,True,PENDING_APPROVAL,False,13031.35,88,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=88; nivel=ALTO; factores: vencimiento=24d, valor=13031.35, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
CASE-0023,SKU-2925,Sala 11,47,149,45.12,45.12,0,False,False,PENDING_APPROVAL,False,6722.88,69,,ALTO,ALTO,"Score=69; nivel=ALTO; factores: vencimiento=47d, valor=6722.88, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=no solicitado, aprobación=no."
CASE-0024,SKU-2479,Sala 2,8,21,176.87,106.12,40,True,True,PENDING_APPROVAL,False,3714.27,78,vencimiento <=30 días con evidencia incompleta,ALTO,ALTO,"Score=78; nivel=ALTO; factores: vencimiento=8d, valor=3714.27, acción=PENDING_APPROVAL, evidencia=incompleta, cambio_precio=solicitado, aprobación=sí."
